re1,re2,orthogonality
NlaIII,KroI,4
NlaIII,BspEI,4
NlaIII,FseI,1
NlaIII,AclI,4
NlaIII,HpySE526I,4
NlaIII,BspDI,4
NlaIII,AciI,4
NlaIII,HpaII,4
NlaIII,Hin6I,4
NlaIII,NarI,4
NlaIII,TaqI,4
NlaIII,BstBI,4
NlaIII,HhaI,4
NlaIII,MluI,4
NlaIII,MauBI,4
NlaIII,BssHII,4
NlaIII,AscI,4
NlaIII,SpeI,4
NlaIII,AvrII,4
NlaIII,NheI,4
NlaIII,XbaI,4
NlaIII,BspOI,1
NlaIII,BglII,4
NlaIII,BamHI,4
NlaIII,BclI,4
NlaIII,SacII,4
NlaIII,SspDI,4
NlaIII,BseX3I,4
NlaIII,NotI,4
NlaIII,PspOMI,4
NlaIII,ApaI,1
NlaIII,BsiWI,4
NlaIII,Asp718I,4
NlaIII,BsrGI,4
NlaIII,KpnI,1
NlaIII,PshBI,4
NlaIII,NdeI,4
NlaIII,BfaI,4
NlaIII,Csp6I,4
NlaIII,MseI,4
NlaIII,BbvCI,4
NlaIII,AbsI,4
NlaIII,SgrDI,4
NlaIII,XhoI,4
NlaIII,SalI,4
NlaIII,ApaLI,4
NlaIII,EcoT22I,1
NlaIII,SdaI,1
NlaIII,PstI,1
NlaIII,AflII,4
SphI,EcoRI,4
SphI,BauI,4
SphI,TaiI,1
SphI,AatII,1
SphI,HindIII,4
SphI,SacI,1
SphI,PvuI,4
SphI,BstKTI,4
SphI,RgaI,4
SphI,PacI,4
SphI,PciI,4
SphI,NcoI,4
SphI,BspHI,4
SphI,NlaIII,0
SphI,SphI,0
SphI,BseYI,4
SphI,GsaI,1
SphI,AgeI,4
SphI,XmaI,4
SphI,MreI,4
SphI,KroI,4
SphI,BspEI,4
SphI,FseI,1
SphI,AclI,4
SphI,HpySE526I,4
SphI,BspDI,4
SphI,AciI,4
SphI,HpaII,4
SphI,Hin6I,4
SphI,NarI,4
SphI,TaqI,4
SphI,BstBI,4
SphI,HhaI,4
SphI,MluI,4
SphI,MauBI,4
SphI,BssHII,4
SphI,AscI,4
SphI,SpeI,4
SphI,AvrII,4
SphI,NheI,4
SphI,XbaI,4
SphI,BspOI,1
SphI,BglII,4
SphI,BamHI,4
SphI,BclI,4
SphI,SacII,4
SphI,SspDI,4
SphI,BseX3I,4
SphI,NotI,4
SphI,PspOMI,4
SphI,ApaI,1
SphI,BsiWI,4
SphI,Asp718I,4
SphI,BsrGI,4
SphI,KpnI,1
SphI,PshBI,4
SphI,NdeI,4
SphI,BfaI,4
SphI,Csp6I,4
SphI,MseI,4
SphI,BbvCI,4
SphI,AbsI,4
SphI,SgrDI,4
SphI,XhoI,4
SphI,SalI,4
SphI,ApaLI,4
SphI,EcoT22I,1
SphI,SdaI,1
SphI,PstI,1
SphI,AflII,4
BseYI,EcoRI,1
BseYI,BauI,3
BseYI,TaiI,4
BseYI,AatII,4
BseYI,HindIII,1
BseYI,SacI,4
