,pGEX-4T-1,pMAL-c5X,pET-21a(+),pET-28a(+),pET-28a(+)_start_codon,pCold_I,pUC18,pQE-3
AoxI,False,False,False,False,False,False,False,False
TstI,False,False,False,False,False,False,True,True
SrfI,True,True,True,True,True,True,True,True
AclWI,False,False,False,False,False,False,False,False
BspHI,False,False,False,False,False,False,False,False
Pdi8503III,False,False,False,False,False,False,False,False
CfrI,False,False,False,False,False,False,False,False
Jma19592I,False,False,False,False,False,False,False,False
OgrI,False,False,False,False,False,False,False,False
Lmo370I,True,False,True,True,True,True,True,True
MspI7IV,False,False,False,True,True,False,False,False
HpyAXIV,False,False,False,False,False,False,False,False
Kpn156V,False,False,True,False,False,True,False,True
MbiI,False,False,False,False,False,False,False,False
AhyYL17I,True,False,False,False,False,True,True,False
DrdIV,False,False,False,False,False,False,True,True
RsaNI,False,False,False,False,False,False,False,False
Aor51HI,True,False,False,False,False,True,True,True
BmiI,False,False,False,False,False,False,False,False
BglII,True,False,False,False,False,True,True,True
NmuCI,False,False,False,False,False,False,False,False
CviQI,False,False,False,False,False,False,False,False
EcoRI,True,True,True,True,True,True,True,False
BseAI,True,False,False,False,False,True,True,False
BspMAI,False,True,False,True,True,True,True,True
SpnRII,False,False,False,False,False,False,True,False
Vtu19109I,False,False,False,False,False,False,True,True
PfrJS15III,False,False,False,False,False,False,True,True
Sth20745III,False,True,True,True,True,True,True,True
TspARh3I,False,False,False,False,False,False,False,False
BthCI,False,False,False,False,False,False,False,False
RlaII,False,False,False,False,False,False,False,False
MtuHN878II,True,True,True,True,True,True,True,True
BsaI,False,False,False,True,True,False,False,False
AhlI,True,True,True,True,True,True,True,True
HhaI,False,False,False,False,False,False,False,False
PluTI,False,False,False,False,False,False,False,True
BsbI,False,False,False,False,False,False,False,False
TaqI,False,False,False,False,False,False,False,False
BsmAI,False,False,False,False,False,False,False,False
NgoMIV,True,True,False,False,False,False,True,True
MspI,False,False,False,False,False,False,False,False
XhoI,True,True,True,True,True,True,True,False
BspANI,False,False,False,False,False,False,False,False
MboI,False,False,False,False,False,False,False,False
BstEII,False,False,False,False,False,False,True,True
SalI,True,True,True,True,True,True,True,True
Acc16I,False,False,False,False,False,False,False,False
VpaK11AI,False,False,False,False,False,False,False,False
Gba708II,False,True,False,False,False,False,True,True
MaeII,False,False,False,False,False,False,False,False
SlaI,True,True,True,True,True,True,True,False
XspI,False,False,False,False,False,False,False,False
PagI,False,False,False,False,False,False,False,False
PsuI,False,False,False,False,False,False,False,False
Mly113I,False,False,False,False,False,False,False,True
Pfl23II,True,False,True,True,True,True,True,True
TasI,False,False,False,False,False,False,False,False
KroI,True,True,False,False,False,False,True,True
Sfr274I,True,True,True,True,True,True,True,False
