,pGEX-4T-1,pMAL-c5X,pET-21a(+),pET-28a(+),pET-28a(+)_start_codon,pCold_I,pUC18,pQE-3
SfaAI,True,True,True,False,False,True,True,True
BspHI,False,False,False,False,False,False,False,False
BpuEI,False,False,False,False,False,False,False,False
BssSI,False,False,False,False,False,False,False,False
Lsp1109I,False,False,False,False,False,False,False,False
CfrI,False,False,False,False,False,False,False,False
VpaK11AI,False,False,False,False,False,False,False,False
HbaII,False,False,False,False,False,False,False,False
BspANI,False,False,False,False,False,False,False,False
HpyAV,False,False,False,False,False,False,False,False
PmlI,True,True,True,True,True,True,True,True
Bsh1236I,False,False,False,False,False,False,False,False
EclXI,True,True,True,True,True,True,True,True
FspBI,False,False,False,False,False,False,False,False
Hsp92I,False,False,False,False,False,False,False,False
AccI,True,True,False,False,False,True,True,False
BkrAM31DI,False,False,False,False,False,False,True,True
Rmu369III,False,False,False,False,False,False,False,False
NmeDI,False,False,False,False,False,False,False,False
BccI,False,False,False,False,False,False,False,False
CspCI,True,True,True,True,True,True,True,True
UbaF9I,True,True,True,False,False,True,True,True
Pfl1108I,False,False,False,False,False,False,False,False
BbvCI,True,True,True,True,True,True,True,True
CviQI,False,False,False,False,False,False,False,False
EcoRI,True,True,True,True,True,True,True,False
BseAI,True,False,False,False,False,True,True,False
BspMAI,False,True,False,True,True,True,True,True
Pst14472I,False,False,False,False,False,False,False,False
Nli3877I,True,False,True,False,False,False,True,False
Cau10061II,False,False,False,False,False,False,False,False
UbaF11I,False,False,False,False,False,False,False,False
UbaPI,False,False,False,False,False,False,False,False
AhaIII,False,False,False,True,True,False,False,False
BglII,True,False,False,False,False,True,True,True
Aor51HI,True,False,False,False,False,True,True,True
BmiI,False,False,False,False,False,False,False,False
AhlI,True,True,True,True,True,True,True,True
BssAI,False,False,False,False,False,False,False,False
BstAFI,True,True,True,True,True,True,True,True
BstX2I,False,False,False,False,False,False,False,False
HhaI,False,False,False,False,False,False,False,False
PluTI,False,False,False,False,False,False,False,True
